"","...1","Show","Season","Episode","Character","Line","Gender","Gender_label","Rownumber","Year","N_words","Year_groups"
"57",78108,"Seinfeld","1","1","JERRY","Laundry day is the only exciting day in the life of clothes. It is... yknow, think about it. The washing machine is the nightclub of clothes. You know, it's dark, there's bubbles happening, they're all kinda dancing around in there- shirt grabs the underwear, C'mon babe, let's go. You come by, you open up the lid and they'll- Socks are the most amazing article of clothing. They hate their lives, they're in the shoes with stinky feet, the boring drawers. The dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper the night before, Tomorrow, the dryer, I'm goin. You wait here! The dryer door swings open and the sock is waiting up against the side wall. He hopes you don't see him and then he goes down the road. They get buttons sewn on their faces, join a puppet show. So they're showing me on television the detergent for getting out bloodstains. Is this a violent image to anybody? Bloodstains? I mean, come on, you got a T-shirt with bloodstains all over it, maybe laundry isn't your biggest problem right now. You gotta get the harpoon out your chest first.",0,"male",78,1989,205,"1989-1993"
"58",79108,"Seinfeld","1","1","JERRY","If you know what happened in the Met game, don't say anything, I taped it, hello. Yeah, no, I'm sorry, you have the wrong number. Yeah, no",0,"male",79,1989,26,"1989-1993"
"59",82108,"Seinfeld","1","1","JERRY","Yeah. Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem.",0,"male",82,1989,18,"1989-1993"
"60",83108,"Seinfeld","1","1","KRAMER","Boy, the Mets blew it tonight, huh?",0,"male",83,1989,6,"1989-1993"
"61",84107,"Seinfeld","1","1","JERRY","Ohhhh, what are you doing? Kessler, it's a tape! I taped the game, it's one oclock in the morning! I avoided human contact all night to watch this.",0,"male",84,1989,27,"1989-1993"
"62",85108,"Seinfeld","1","1","KRAMER","Hey, I'm sorry, I- you know, I, I thought you knew. You got any meat?",0,"male",85,1989,14,"1989-1993"
"63",86108,"Seinfeld","1","1","JERRY","Meat? I don't, I don't know, go... hunt! well what happened in the game anyway?",0,"male",86,1989,14,"1989-1993"
"64",87108,"Seinfeld","1","1","KRAMER","What happened? Well, they STUNK, that's what happened!",0,"male",87,1989,7,"1989-1993"
"65",88108,"Seinfeld","1","1","KRAMER","You know, I almost wound up going to that game.",0,"male",88,1989,9,"1989-1993"
"66",89108,"Seinfeld","1","1","JERRY","Yeah you almost went to the game. You havent been out of the building in ten years!",0,"male",89,1989,16,"1989-1993"
"67",90108,"Seinfeld","1","1","KRAMER","Yeah. Are you done with this?",0,"male",90,1989,5,"1989-1993"
"68",92108,"Seinfeld","1","1","KRAMER","When you're done, let me know.",0,"male",92,1989,5,"1989-1993"
"69",93108,"Seinfeld","1","1","JERRY","Yeah, yeah... you can have it tomorrow.",0,"male",93,1989,6,"1989-1993"
"70",94108,"Seinfeld","1","1","KRAMER","I thought I wasn't allowed to be in here this weekend.",0,"male",94,1989,10,"1989-1993"
"71",95108,"Seinfeld","1","1","JERRY","No, it's okay now, that, that girl is not comin. Uh, I misread the whole thing.",0,"male",95,1989,15,"1989-1993"
"72",96107,"Seinfeld","1","1","KRAMER","You want me to talk to her?",0,"male",96,1989,6,"1989-1993"
"73",98108,"Seinfeld","1","1","KRAMER","Oh, I can be very persuasive. Do you know that I was almost... a lawyer.",0,"male",98,1989,14,"1989-1993"
"74",102108,"Seinfeld","1","1","KRAMER","Oh, give me it... let me talk to her.",0,"male",102,1989,8,"1989-1993"
"75",103108,"Seinfeld","1","1","JERRY","No believe me, I'm always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me...",0,"male",103,1989,28,"1989-1993"
"76",105108,"Seinfeld","1","1","JERRY","No, it's, it's just my neighbour... Um... Yeah, I got it. Ten-fifteen... No, don't be silly, go ahead and ask... Yeah, sure... Okay, great, no no, it's no trouble at all... I'll see you tomorrow... Great, bye. I don't believe it. That was her. She wants to stay here!",0,"male",105,1989,48,"1989-1993"
"77",106107,"Seinfeld","1","1","JERRY","If my father was moving this he'd had to have a cigarette in his mouth the whole way. 'Have you got your end?... Your ends got to come down first, easy now, drop it down... drop it down, your ends got to come down.'",0,"male",106,1989,43,"1989-1993"
"78",107108,"Seinfeld","1","1","GEORGE","You know, I can't believe you're bringin in an extra bed for woman that wants to sleep with you. Why don't you bring in an extra guy too?",0,"male",107,1989,27,"1989-1993"
"79",108108,"Seinfeld","1","1","JERRY","Look, it's a very awkward situation. I don't wanna be presumptuous.",0,"male",108,1989,10,"1989-1993"
"80",109108,"Seinfeld","1","1","GEORGE","All right, all right, one more time, one more time! What was the exact phrasing of the request?",0,"male",109,1989,17,"1989-1993"
"81",110108,"Seinfeld","1","1","JERRY","All right, she said she couldn't find a decent hotel room...",0,"male",110,1989,10,"1989-1993"
"82",112108,"Seinfeld","1","1","JERRY","Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place.",0,"male",112,1989,14,"1989-1993"
"83",113108,"Seinfeld","1","1","GEORGE","You can't be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag? This is the signal, Jerry, this is the signal!",0,"male",113,1989,30,"1989-1993"
"84",114108,"Seinfeld","1","1","JERRY","This is the signal? Thank you, Mr. Signal. Where we're you yesterday?",0,"male",114,1989,11,"1989-1993"
"85",115108,"Seinfeld","1","1","GEORGE","I think I was affected by the caffeine.",0,"male",115,1989,7,"1989-1993"
"86",116108,"Seinfeld","1","1","GEORGE","Ho, ho, ho, good dog, good dog...",0,"male",116,1989,6,"1989-1993"
"87",117108,"Seinfeld","1","1","KRAMER","Hey, he really likes you, George.",0,"male",117,1989,5,"1989-1993"
"88",119107,"Seinfeld","1","1","KRAMER","Oh, he's gettin a drink of water. Is this for that girl?",0,"male",119,1989,11,"1989-1993"
"89",121108,"Seinfeld","1","1","KRAMER","Why even give her an option?",0,"male",121,1989,5,"1989-1993"
"90",122108,"Seinfeld","1","1","JERRY","This is a person I like, it's not How to score on spring break.",0,"male",122,1989,13,"1989-1993"
"91",123108,"Seinfeld","1","1","GEORGE","Right, can we go? 'Cause I'm double-parked, I'm gonna get a ticket.",0,"male",123,1989,11,"1989-1993"
"92",124108,"Seinfeld","1","1","JERRY","Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom.",0,"male",124,1989,12,"1989-1993"
"93",126108,"Seinfeld","1","1","JERRY","Now, how could that be good?",0,"male",126,1989,5,"1989-1993"
"94",127107,"Seinfeld","1","1","GEORGE","Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, I've gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.",0,"male",127,1989,43,"1989-1993"
"95",128108,"Seinfeld","1","1","JERRY","This is how you operate?",0,"male",128,1989,4,"1989-1993"
"96",130108,"Seinfeld","1","1","JERRY","Let me just wipe the sink.",0,"male",130,1989,5,"1989-1993"
"97",131108,"Seinfeld","1","1","KRAMER","Why even give her an option for?",0,"male",131,1989,6,"1989-1993"
"98",135108,"Seinfeld","1","1","GEORGE","It's uh, not bad, it's comin along. Why? Did you need something.",0,"male",135,1989,11,"1989-1993"
"99",136108,"Seinfeld","1","1","KRAMER","Do you handle any of that commercial... real estate?",0,"male",136,1989,8,"1989-1993"
"100",137108,"Seinfeld","1","1","GEORGE","Well, I might be getting into that.",0,"male",137,1989,6,"1989-1993"
